162,Add_2020,Add_7200,Ar_7/229,Manuscrit_4122,Or_2313,Sachau_162,Sado_no_9,Syr_80
ܚܡܪܐ,ܚܡܪܐ,ܚܡܪܐ,,ܚܡܪܐ,,ܚܡܪܐ,ܚܡܪܐ,ܚܡܪܐ
,ܕܝܢ,,,ܕܝܢ,,,ܕܝܢ,ܕܝܢ
ܬܪ̈ܝܢ,ܬܪܝܢ,ܬܪܝܢ,ܬܪܝܢ,ܬܪ̈ܝܢ,,ܬܪ̈ܝܢ,ܬܪܬܝܢܒܬ̈ܐ,ܬܪܝܢ
ܒܬܝܢ,ܒܬ̈ܝܢ,ܒ̈ܝܬܝܢ,ܒܬܝ̈ܢ,ܒ̈ܬܐ,,ܒ̈ܬܐ,,ܒ̈ܬܐ
,,ܒܝܘܡܐ,ܒܝܘܡܐ,,,,,
,ܒܢܐ,,,ܒܢܐ,,,ܒܢܐ,ܒܢܐ
,ܗ̄ܘܐ,ܚܕ,ܒܢܝܢܗܘܘ܂,ܗَܘܐ,,,ܗܘܐ,ܗ̄ܘܐ
ܒܚܕ,ܒܚܕ,,,ܒܚܕ,,ܒܚܕ,ܒܚܕ,ܒܚܕ
ܝܘܡܐ,ܝܘܡܐ܂,,,ܝܘܡܐ܂,,ܝܘܡܐ,ܝܘܡܐ܂܂,ܝܘܡܐ܂
ܒܢܐ,,ܒܢܐ,,,,ܒܢܐ,,
ܗܘܐ܂,,ܗܘܐ܂,,,,ܗܘܐ܂,,
ܘܐܠܘܒܚܝܠܐܬܩܝܦܐܡܬܕܒܪܐ,ܘܐܠܘܒܚܝܠܐܬܩܝܦܐܡܬܕܒܪܐ,ܘܐܠܘܒܚܝܠܐܬܩܝܦܐܡܬܕܒܪܐ,ܘܐܠܘܒܚܝܠܐܬܩܝܦܐܡܬܕܒܪܐ,ܘܐܠܘܒܚܝܠܐܬܩܝܦܐܡܬܕܒܪܐ,,ܘܐܠܘܒܚܝܠܐܬܩܝܦܐܡܬܕܒܪܐ,ܘܐܠܘܒܚܝܠܐܬܩܝܦܐܡܬܕܒܪܐ,ܘܐܠܘܒܚܝܠܐܬܩܝܦܐܡܬܕܒܪܐ
ܗܘܐ܂,ܗ̄ܘܬ,ܗܘܐ,ܗܘܬ,ܗَܘܬܦܕܢܐ܆,,ܗܘܬ,ܗܘܐ,ܗ̄ܘܬ
ܦܕܢܐ܂,ܦܕܢܐ܂,ܦܕܢܐ܂,ܦܕܢܐ܇,,,ܦܕܢܐ,ܦܕܢܐ܂܂ܚܪܒܗ,ܦܕܢܐ܂
ܚܪܒܐ,ܚܘܒܗ,ܚܪܒܐ,ܚܪܒܐ,ܚܪܒܐ,,,,ܚܪܒܐ
ܕܦܕܢܐ,,ܕܦܕܢܐ,ܕܦܕܢܐ,,,,,
ܡܢ,ܡܢ,ܡܢ,ܡܢ,ܡܢ,,ܡܢ,ܡܢ,ܡܢ
ܬܚܝܬ,,ܬܚܝܬ,ܬܚܝܬ,,,ܬܚܬܫܚ̈ܬܗ,,
ܫܚ̈ܘܬܗ,ܫܚܬܗ,ܫܚܬܗ,ܫܚܬܗ,ܫܚܬܗ,,,ܫܚܬܗ,ܫܚܬܗ
ܕܓܡܠܐܠܐ,ܕܓܡܠܐܠܐ,ܕܓܡ[܂]ܐܠܐܡܬܓܪܕܢܐ܂܂ܛܒܘ,ܕܓܡܠܐܠܐ,ܕܓܡܠܐܠܐ,,ܕܓܡܠܐܠܐ,ܕܓܡܠܐܠܐ,ܕܓܡܠܐܠܐ
ܡܬܓܪܕܝܐ,ܡܫܬܪܝܐ܀,,ܦܪܩܐ,ܡܫܬܪܝܐ,,ܦܪܩܐ,ܡܫܬܪܝܐ,ܡܫܬܪܝܐ
ܗܘܬ܀,,,ܗܘܐ܀܂܂܂܂܂܂١٠܆,ܗَܘܬ܆,,ܗܘܬ܀,ܗܘܐ܂܂,ܗ̄ܘܬ̱܂
ܒܪܝܛܒ,ܒܪܝܛܒ,,,ܒܪܝܛܒ,,ܒܪܝܛܒ,ܒܪܝܛܒ,ܒܪܝܛܒ
,,,ܒܪܝܐܫܘܕܚܡܪܟܥܠܩܒܪܐ,,,,,
